koatuu;latitude;longitude
0122382205;45.9825000;33.8388889
0122382207;45.9480556;33.8266667
0122382400;45.9930600;34.0291700
0122382401;45.9930556;34.0291667
0122382402;46.0352778;33.9983333
0122382403;46.0161111;33.9405556
0122382600;45.8625000;34.0513900
0122382601;45.8630556;34.0513889
0122382602;45.8888889;34.1138889
0122382603;45.8394444;34.0438889
0122382604;45.8750000;34.0847222
0122383000;45.8666700;33.8902800
0122383001;45.8669444;33.8902778
0122383002;45.8613889;33.9400000
0122383003;45.8630556;33.8794444
0122383700;45.8125000;33.9736100
0122383701;45.8125000;33.9738889
0122383702;45.7780556;34.0022222
0122383703;45.8350000;33.9602778
0122383704;45.7938889;34.0016667
0122384800;45.9916700;33.7666700
0122384801;45.9916667;33.7666667
0122384802;46.0497222;33.7550000
0122385900;45.9597200;33.7708300
0122385901;45.9597222;33.7708333
0122385902;46.0263889;33.6944444
0122385903;45.9763889;33.7500000
0122387000;46.0833300;33.7847200
0122387001;46.0833333;33.7847222
0122387002;46.0608333;33.8075000
0122700000;45.2975000;35.7739000
0122710500;45.4236111;35.8186111
0122755100;45.3000000;35.7670000
0122755300;45.3830000;36.3000000
0122755301;45.2886111;36.2858333
0122780400;45.3167000;35.9166000
0122780401;45.3250000;35.9152778
0122780402;45.3430556;35.9847222
0122780404;45.3611111;35.9458333
0122780800;45.1830000;35.6157000
0122780801;45.1902778;35.6152778
0122780802;45.1250000;35.6583333
0122780803;45.1972222;35.5347222
0122781200;45.3670000;36.0830000
0122781201;45.3763889;36.0833333
0122781202;45.3680556;36.0263889
0122781203;45.4222222;36.0763889
0122781204;45.3686111;36.0138889
0122781205;45.3916667;36.0597222
0122781206;45.3555556;36.0347222
0122781300;45.2835000;35.8500000
0122781301;45.2930556;35.8486111
0122781302;45.2930556;35.8708333
0122781600;45.3830000;36.4330000
0122781601;45.3844444;36.4350000
0122781602;45.4013889;36.4902778
0122781603;45.3875000;36.4833333
0122781604;45.4727778;36.3380556
0122782000;45.3830000;36.5670000
0122782001;45.3861111;36.5777778
0122782002;45.4291667;36.5944444
0122782003;45.4250000;36.5666667
0122782400;45.2777778;36.1863889
0122782401;45.2763889;36.1861111
0122782800;45.1170000;36.4000000
0122782801;45.1916667;36.6563889
0122782802;45.1513889;36.3708333
0122782803;45.1388889;36.4166667
0122782804;45.0736111;36.3180556
0122783200;45.2830000;35.7330000
0122783201;45.2805556;35.7363889
0122783600;45.3170000;35.7500000
0122783601;45.3213889;35.7463889
0122783700;45.2167000;35.8333000
0122783701;45.2208333;35.8430556
0122783702;45.1400000;35.9444444
0122783703;45.1377778;35.8527778
0122783900;45.2500000;35.8000000
0122783901;45.2500000;35.8055556
0122783902;45.2708333;35.7861111
0122784600;45.2500000;35.9167000
0122784601;45.2541667;35.9208333
0122784603;45.2666667;36.0222222
0122784801;45.2333333;35.7180556
0122784802;45.2055556;35.6555556
0122785101;45.1958333;36.0888889
0122785103;45.2472222;36.0972222
0122785104;45.1569444;36.0791667
0122785400;45.1167000;36.2333000
0122785401;45.2366667;36.6986111
0122785402;45.1000000;36.2333333
0122785403;45.1111111;36.2555556
0122785404;45.1638889;36.1875000
0122785800;45.4500000;35.8330000
0122785801;45.4458333;35.8347222
0122785802;45.4041667;35.8791667
0122785803;45.3472222;35.7333333
0122785804;45.3763889;35.7666667
0122786100;45.3000000;36.0500000
0122786101;45.3097222;36.0597222
0122786200;45.3670000;36.3660000
0122786201;45.3638889;36.3666667
0122786400;45.2670000;36.3330000
0122786401;45.2736111;36.3333333
0122787500;45.2500000;35.5500000
0122787501;45.2444444;35.5597222
0122787502;45.2805556;35.5236111
0122787503;45.2625000;35.4750000
0122787504;45.2263889;35.5347222
0122787505;45.3291667;35.4111111
0122787506;45.1958333;35.4541667
0122788000;45.2670000;35.6670000
0122788001;45.2616667;35.6652778
0122788400;45.2000000;36.3670000
0122788401;45.2027778;36.3722222
